Date,Open,High,Low,Close,Adj Close,Volume
2000-05-24,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-25,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-26,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-29,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-30,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-31,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,2400000
2000-06-01,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-02,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-05,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-06,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-07,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-08,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-09,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-12,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-13,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-14,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-15,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-16,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-19,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-20,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-21,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-22,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-23,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-26,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-27,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-28,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-29,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-06-30,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-03,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-04,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-05,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-06,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-07,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-10,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-11,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-12,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-13,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-14,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-17,25.14999962,25.14999962,25.14999962,25.14999962,9.316907883,0
2000-07-18,25.39999962,25.39999962,25.39999962,25.39999962,9.409524918,200000
2000-07-19,25.39999962,25.39999962,25.39999962,25.39999962,9.409524918,0
2000-07-20,25.39999962,25.39999962,25.39999962,25.39999962,9.409524918,0
2000-07-21,23.89999962,23.89999962,23.89999962,23.89999962,8.853843689,89995
2000-07-24,22.39999962,22.39999962,22.39999962,22.39999962,8.298163414,183185
2000-07-25,22.39999962,22.39999962,22.39999962,22.39999962,8.298163414,0
2000-07-26,22.39999962,22.39999962,22.39999962,22.39999962,8.298163414,0
2000-07-27,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,65995
2000-07-28,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-07-31,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-01,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-02,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-03,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-04,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-07,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-08,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-09,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-10,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-11,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-14,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-15,20.59999847,20.59999847,20.59999847,20.59999847,7.631344795,0
2000-08-16,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,1745
2000-08-17,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-18,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-21,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-22,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-23,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-24,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-25,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-28,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-29,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-30,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-08-31,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-01,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-04,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-05,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-06,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-07,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-08,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-11,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-12,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-13,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-14,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-15,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-18,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-19,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-20,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-21,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-22,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-25,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-26,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-27,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-28,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-09-29,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-02,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-03,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-04,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-05,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-06,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-09,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-10,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-11,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-12,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-13,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-16,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-17,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-18,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-19,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-20,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-23,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-24,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-25,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-26,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-27,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-30,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-10-31,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-01,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-02,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-03,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-06,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-07,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-08,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-09,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-10,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-13,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-14,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-15,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-16,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-17,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-20,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-21,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-22,16.1099987,16.1099987,16.1099987,16.1099987,5.968008041,0
2000-11-23,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,625000
2000-11-24,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-11-27,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-11-28,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-11-29,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-11-30,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-12-01,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-12-04,16.69999886,16.69999886,16.69999886,16.69999886,6.18657732,0
2000-12-05,18.77999878,18.77999878,18.77999878,18.77999878,6.957119942,495
2000-12-06,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,1012495
2000-12-07,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-08,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-11,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-12,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-13,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-14,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-15,18.59999847,18.59999847,18.59999847,18.59999847,6.890438557,0
2000-12-18,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,635995
2000-12-19,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-20,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-21,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-22,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-25,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-26,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-27,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-28,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2000-12-29,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-01,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-02,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-03,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-04,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-05,18.49999809,18.49999809,18.49999809,18.49999809,6.853393078,0
2001-01-08,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,1825000
2001-01-09,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-10,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-11,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-12,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-15,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-16,20.49999809,20.49999809,20.49999809,20.49999809,7.594299316,0
2001-01-17,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,500000
2001-01-18,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-19,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-22,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-23,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-24,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-25,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-26,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-29,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-30,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-01-31,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-01,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-02,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
2001-02-05,18.04999924,18.04999924,18.04999924,18.04999924,6.686688423,0
